Date,Lesson,Accuracy,WPM,Idle Time
,,,,
8/18/2021,Home Row Intro,100,0,110
8/19/2021,Home Row Intro,100,59,241
8/24/2021,Spacebar and Home Row,100,67,47
8/25/2021,Letters E and H,100,79,21
8/26/2021,Letters O and R,100,93,9
8/30/2021,Letters I and T,100,98,32
8/31/2021,Left Shift and Period,100,86,10
9/1/2021,Letters U and C,100,75,3
9/2/2021,Review-L08,100,90,3
9/3/2021,Letters N and W,100,92,1
9/7/2021,Letter G and Right Shift,100,80,16
9/8/2021,Letters B and P,100,85,11
9/9/2021,Review-L12,100,89,2
9/10/2021,Letters M and X,100,82,9
9/13/2021,Letters Y and Z,100,80,8
9/14/2021,Letter Q and Comma,100,75,22
9/15/2021,Review-L16,100,84,4
9/16/2021,Letter V and Colon,100,82,12
9/17/2021,Caps Lock and Question Mark,99,67,5
09/20/21,Quotations & Apsotrophe & Hyphen,99.0,69.0,11
09/21/21,Evaluate Speed-01,98.0,85.0,3
09/22/21,Review 1-01,100.0,81.0,13
