name,date,score,time,time_of_day
Zerg Rush,09-22-21,212,38,48879
Zerg Rush,09-22-21,92,30,48916
Zerg Rush,09-22-21,120,33,48957
Zerg Rush,09-22-21,212,38,48997
Zerg Rush,09-22-21,84,26,49025
Zerg Rush,09-22-21,64,24,49053
Zerg Rush,09-22-21,12,22,49082
Zerg Rush,09-22-21,188,37,49122
Zerg Rush,09-22-21,112,28,49157
Zerg Rush,09-22-21,236,42,49201
Zerg Rush,09-22-21,96,27,49230
Zerg Rush,09-22-21,414,20,49258
Zerg Rush,09-22-21,258,33,49295
Zerg Rush,09-22-21,108,26,49325
Zerg Rush,09-22-21,150,27,49392
Zerg Rush,09-22-21,48,14,49410
