Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,100.0,34,0
Day 01 - Part 2 - Learn Home Row,99.0,34,0
Day 02 - Part 4,95.5,20,0
Day 02 - Part 5,100.0,34,0
Day 03 - Part 1,94.5,22,0
Day 03 - Part 2 - Learn R,96.1,19,0
Day 03 - Part 3 - Learn O,92.6,15,0
Day 03 - Part 4,98.0,26,0
Day 03 - Part 5,94.5,18,0
Day 03 - Part 3 - Learn O,96.6,25,0
Day 03 - Part 5,94.3,19,1
Day 03 - Part 5,96.1,23,1
Day 03 - Part 1,97.5,32,0
Day 02 - Part 4,98.7,32,0
Day 03 - Part 2 - Learn R,93.5,17,0
