Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed,86,28,2
9/23/2020,Review 2                        ,94,32,8
9/24/2020,Review 3                        ,94,34,15
9/28/2020,Evaluate Speed,79,30,9
9/29/2020,Review 5                        ,95,25,0
9/30/2020,Review 6                        ,96,28,0
10/1/2020,Review 7                        ,94,26,4
10/5/2020,Numbers 4 and 8                 ,96,24,0
10/7/2020,Numbers 3 and 0                 ,97,32,0
10/8/2020,Numbers 2 and 6                 ,98,33,0
10/9/2020,Evaluate Speed,96,32,0
10/12/2020,Letters 1                       ,98,39,0
10/13/2020,Letters 2,96,30,0
10/14/2020,Review Numbers,97,36,88
10/15/2020,Evaluate Speed,95,32,0
10/16/2020,Dollar Sign and Forward Slash   ,95,26,0
10/20/2020,Percent and Hyphen,96,25,1
10/22/2020,Open and Close Parentheses      ,97,28,0
10/23/2020,Symbol and Asterisk,97,29,0
10/26/2020,Excalmation & Greater & Less Than,96,32,0
10/27/2020,Evaluate Speed-05,95,33,0
10/28/2020,Bible Verses 1-1,95,34,2
10/29/2020,All Symbols,96,28,7
10/30/2020,Review 2,95,33,3
11/2/2020,Review 5-1,94,30,0
11/2/2020,TestyThingamabob,100,45,0
11/3/2020,Bible Verses 2-1,95,33,0
11/4/2020,Evaluate Speed-06,95,36,1
11/5/2020,Bible Verses 1-2 WB,100,45,1
11/6/2020,Build Speed 1-1 WB,100,46,0
11/10/2020,Build Speed 2-1 WB,100,42,0
11/11/2020,Review 5-2 WB,100,43,0
11/12/2020,Bible Verses 2-2 WB,100,48,0
11/28/2020,Evaluate Speed-07 WB,100,49,2
11/28/2020,Build Speed 1-2 WB,100,40,2
11/28/2020,Build Speed 2-2 WB,100,40,2
11/28/2020,Review 5-3 WB,100,44,2
11/28/2020,Bible Verses 2-3 WB,100,43,2
11/28/2020,Evaluate Speed-08 WB,100,49,2
11/30/20,Bible Verses 1-4 WB,100.0,48.0,0
12/01/20,Bible Verses 1-3 WB,100.0,49.0,0
12/01/20,Build Speed 1-3 WB,100.0,44.0,0
12/02/20,Build Speed 2-3 WB,100.0,45.0,0
12/03/20,Review 5-4 WB,100.0,42.0,0
12/04/20,Bible Verses 2-4 WB,100.0,50.0,0
12/07/20,Evaluate Speed-09 WB,100.0,53.0,0
12/08/20,Bible Verses 1-5 WB,100.0,50.0,0
12/10/20,Build Speed 1-4 WB,100.0,50.0,0
12/11/20,Build Speed 2-4 WB,100.0,47.0,0
12/14/20,Review 5-5 WB,100.0,45.0,0
12/15/20,Bible Verses 2-5 WB,100.0,50.0,0
12/16/20,Evaluate Speed-10 WB,100.0,50.0,0
12/17/20,Evaluate Speed-11 WB,100.0,48.0,0
12/18/20,Review 5-5 WB,100.0,45.0,0
