Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,96.3,28,0
Day 01 - Part 2 - Learn Home Row,98.7,36,0
Day 02 - Part 4,97.5,53,0
Day 02 - Part 5,100.0,69,0
Day 03 - Part 1,96.5,41,0
Day 03 - Part 2 - Learn R,98.7,44,0
Day 03 - Part 3 - Learn O,98.0,32,0
Day 03 - Part 4,100.0,55,0
Day 03 - Part 5,94.3,11,10
Day 03 - Part 5,95.0,21,0
Day 03 - Part 5,94.2,28,0
Day 03 - Part 5,95.4,25,5
Day 03 - Part 5,98.0,26,0
Day 01 - Part 1 - Learn Spacebar,92.6,23,0
Day 01 - Part 1 - Learn Spacebar,96.3,32,0
Day 01 - Part 1 - Learn Spacebar,97.8,39,0
Day 03 - Part 1,99.0,34,0
Day 02 - Part 4,89.2,13,0
Day 02 - Part 4,91.7,19,0
Day 02 - Part 4,94.9,33,0
Day 02 - Part 4,94.9,31,0
