Lesson,Accuracy,WPM,Idle Time

Day 20 - Part 1,96.5,38,0
Day 20 - Part 2,95.6,40,0
Day 20 - Part 3,100.0,46,0
Day 20 - Part 4,98.2,40,0
Day 20 - Part 5,100.0,41,0
Day 20 - Part 6,98.7,45,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,96.1,43,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,99.3,51,0
Day 20 - Part 2,97.4,45,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,97.5,48,0
Day 20 - Part 1,99.1,48,0
Day 20 - Part 2,99.1,51,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.3,53,0
Day 20 - Part 4,99.1,45,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.0,53,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,98.2,50,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.5,43,0
Day 20 - Part 6,96.9,42,0
Day 20 - Part 6,100.0,58,0
Day 20 - Part 4,100.0,52,0
Day 20 - Part 1,98.7,46,0
Day 20 - Part 1,100.0,59,0
Day 20 - Part 2,99.1,60,0
Day 20 - Part 2,99.6,51,0
Scripture - 1 Min - Novice - Acts 1 v 9-11,100.0,49,0
Scripture - 1 Min - Novice - 1 Peter 1 v 18-19,99.7,61,0
Day 20 - Part 2,99.1,48,0
Day 20 - Part 2,99.6,50,0
Day 20 - Part 2,96.1,43,0
Day 20 - Part 2,98.2,47,0
