name,date,score,time,time_of_day

Letter Game,08-24-21,-80,72,48813
Letter Game,08-24-21,336,3,48842
Letter Game,08-24-21,1241,75,48921
Letter Game,08-24-21,525,73,49057
Letter Game,08-24-21,-120,67,49180
Letter Game,08-24-21,23,65,49280
Letter Game,08-24-21,340,3,49294
Letter Game,08-24-21,-780,57,49357
Letter Game,08-25-21,550,85,48829
Letter Game,08-25-21,-315,42,48900
Letter Game,08-25-21,-2635,34,48984
Letter Game,08-25-21,323,7,49046
Letter Game,08-25-21,-3240,37,49101
Letter Game,08-25-21,359,10,49166
Letter Game,08-25-21,665,76,49246
Letter Game,08-25-21,615,72,49378
Letter Game,08-27-21,170,71,49200
Letter Game,08-27-21,510,70,49289
Letter Game,08-27-21,380,68,49397
Letter Game,08-30-21,820,88,49032
Letter Game,08-30-21,1030,82,49146
Letter Game,08-30-21,30,102,49258
Letter Game,08-30-21,260,93,49376
Letter Game,09-01-21,250,112,49231
Letter Game,09-01-21,-240,117,49367
Zerg Rush,09-07-21,256,75,49241
Zerg Rush,09-07-21,228,70,49328
Zerg Rush,09-08-21,320,88,48615
Zerg Rush,09-08-21,264,69,48694
Zerg Rush,09-08-21,120,42,48742
Zerg Rush,09-08-21,738,163,48912
Zerg Rush,09-08-21,680,70,49008
Zerg Rush,09-08-21,300,33,49050
Zerg Rush,09-08-21,810,22,49084
Zerg Rush,09-08-21,616,137,49240
Zerg Rush,09-08-21,828,23,49287
Zerg Rush,09-08-21,900,21,49328
Zerg Rush,09-08-21,142,42,49395
Zerg Rush,09-09-21,978,197,49952
Zerg Rush,09-09-21,336,73,50074
Zerg Rush,09-10-21,816,172,49021
Zerg Rush,09-10-21,792,21,49063
Zerg Rush,09-10-21,1152,22,49090
Zerg Rush,09-10-21,792,38,49132
Zerg Rush,09-10-21,618,48,49183
Zerg Rush,09-10-21,876,86,49274
Zerg Rush,09-10-21,82,32,49363
Zerg Rush,09-15-21,1062,22,48881
Zerg Rush,09-15-21,594,137,49077
Zerg Rush,09-15-21,624,143,49248
Zerg Rush,09-15-21,322,89,49363
Zerg Rush,09-15-21,684,37,49410
Zerg Rush,09-16-21,1062,23,48889
Zerg Rush,09-16-21,980,197,49108
Zerg Rush,09-16-21,888,183,49358
Zerg Rush,09-16-21,104,17,49429
Zerg Rush,09-17-21,488,118,49370
Zerg Rush,09-20-21,812,170,49281
Zerg Rush,09-20-21,846,23,49330
Zerg Rush,09-20-21,640,66,49404
Zerg Rush,09-21-21,358,96,49307
Zerg Rush,09-21-21,954,20,49335
Zerg Rush,09-21-21,684,34,49374
Zerg Rush,09-21-21,0,0,49388
Zerg Rush,09-22-21,584,136,48962
Zerg Rush,09-22-21,954,22,49009
Zerg Rush,09-22-21,860,174,49215
Zerg Rush,09-22-21,596,131,49362
Zerg Rush,09-22-21,0,1,49403
