Lesson,Accuracy,WPM,Idle Time

Day 01 - Part 1 - Learn Spacebar,98.5,33,0
Day 01 - Part 2 - Learn Home Row,100.0,41,0
Day 02 - Part 4,95.5,24,4
Day 02 - Part 5,100.0,39,1
Day 03 - Part 1,95.5,23,0
Day 03 - Part 2 - Learn R,94.8,23,0
Day 03 - Part 3 - Learn O,96.0,21,0
Day 03 - Part 4,98.0,30,0
Day 03 - Part 5,99.1,32,1
Day 03 - Part 2 - Learn R,100.0,24,16
Day 03 - Part 1,100.0,41,10
Day 02 - Part 4,100.0,37,14
Day 03 - Part 3 - Learn O,100.0,38,7
Day 03 - Part 4,100.0,34,0
Day 01 - Part 1 - Learn Spacebar,100.0,41,0
Day 03 - Part 5,99.3,28,9
Day 03 - Part 5,53.4,-136,5
