Date,Score,Errors,Letters Left

09/23/2020,107,19,56
11/19/2020,580,151,40
11/19/2020,26634,466,0
11/19/2020,26541,479,0
11/19/2020,12417,516,8
11/23/2020,0,246,100
11/23/2020,26755,445,0
11/23/2020,26678,452,0
11/23/2020,1146,396,33
11/23/2020,26675,465,0
