Lesson,Accuracy,WPM,Idle Time

Day 15 - Part 5,95.5,11,0
Day 15 - Part 6,97.0,18,0
Day 16 - Part 1,91.6,8,0
Day 16 - Part 2,94.3,12,0
Day 16 - Part 3,96.1,15,0
Day 16 - Part 4,92.6,12,0
Day 16 - Part 5,96.2,16,0
