Lesson,Accuracy,WPM,Idle Time

Day 16 - Part 4,95.1,16,0
Day 16 - Part 5,96.6,15,0
Day 17 - Part 1,96.8,16,0
Day 17 - Part 2 - Learn V,94.8,14,0
Day 17 - Part 3 - Learn Colon,96.1,11,0
Day 17 - Part 4,97.1,13,0
Day 17 - Part 5,95.2,11,0
Day 17 - Part 2 - Learn V,98.7,17,0
Day 16 - Part 4,97.4,19,0
Day 17 - Part 5,92.2,9,0
