Date,Lesson,Accuracy,WPM,Idle Time
,,,,
9/21/2020,Evaluate Speed                  ,94,29,0
9/23/2020,Review 1                        ,100,33,0
9/23/2020,Spacebar and Home Row           ,99,44,0
9/24/2020,Review 3                        ,97,30,0
9/28/2020,Evaluate Speed                  ,94,33,0
9/29/2020,Review 5                        ,97,28,0
9/30/2020,Review 6                        ,98,31,0
10/1/2020,Review 7                        ,97,30,0
10/2/2020,Numbers 1 and 7                 ,99,32,0
10/5/2020,Numbers 4 and 8                 ,99,28,0
10/9/2020,Evaluate Speed                  ,94,38,0
10/14/2020,Review Numbers                  ,99,33,0
10/15/2020,Evaluate Speed                  ,99,38,1
10/16/2020,Dollar Sign and Forward Slash   ,98,27,2
10/20/2020,Percent and Hyphen              ,99,27,1
10/22/2020,Open and Close Parentheses      ,98,26,0
10/23/2020,Symbol and Asterisk             ,99,30,0
11/2/2020,Review 5-1,97,32,0
11/3/2020,Bible Verses 2-1,98,38,0
11/3/2020,Evaluate Speed-05,97,35,4
11/3/2020,Bible Verses 1-1,97,36,8
11/4/2020,Evaluate Speed-06,98,39,0
11/5/2020,Bible Verses 1-2 WB,100,43,0
11/6/2020,All Symbols,97,26,0
11/6/2020,Review 2,96,34,0
11/6/2020,Build Speed 1-1 WB,100,43,0
11/10/2020,Build Speed 2-1 WB,100,40,0
11/11/2020,Review 5-2 WB,100,41,0
11/12/2020,Bible Verses 2-2 WB,100,44,0
11/13/2020,Evaluate Speed-07 WB,100,45,0
11/16/2020,Bible Verses 1-3 WB,100,46,0
11/17/2020,Build Speed 1-2 WB,100,48,0
11/18/2020,Build Speed 2-2 WB,100,43,0
11/19/2020,Review 5-3 WB,100,44,0
11/20/2020,Bible Verses 2-3 WB,100,47,0
11/23/2020,Evaluate Speed-08 WB,100,50,0
11/30/2020,Bible Verses 1-4 WB,100,47,0
12/6/2020,Letters O and R,90,15,0
12/6/2020,Letters U and C,95,27,0
12/6/2020,Review-L08,87,9,0
12/6/2020,Dollar Sign and Forward Slash,93,20,0
12/6/2020,Number Sign and Ampersand,90,16,0
12/6/2020,Build Speed 1-3 WB,100,47,2
12/6/2020,Build Speed 2-3 WB,100,43,1
12/7/2020,Review 5-4 WB,100,42,0
12/7/2020,Bible Verses 2-4 WB,100,44,14
12/07/20,Evaluate Speed-09 WB,100.0,50.0,0
12/08/20,Bible Verses 1-5 WB,100.0,48.0,0
12/10/20,Build Speed 1-4 WB,100.0,51.0,0
12/11/20,Build Speed 2-4 WB,100.0,47.0,0
12/14/20,Review 5-5 WB,100.0,44.0,2
12/15/20,Bible Verses 2-5 WB,100.0,48.0,0
12/16/20,Evaluate Speed-10 WB,100.0,49.0,0
12/17/20,Evaluate Speed-11 WB,100.0,51.0,0
12/18/20,Bible Verses 2-4 WB,100.0,46.0,1
